All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
155,595,1471,6662,776,971,4659,1431,344,581,350,2295,2057,720,120586,119692
156,596,1499,6663,777,973,4756,1432,345,582,356,2296,2064,720,120775,81282
157,598,1540,6736,781,974,4763,1445,348,583,357,2297,2099,721,120776,23538
158,604,1544,6792,782,975,4773,1452,350,585,358,2298,2147,721,120787,3047
159,624,1559,6812,790,978,4851,1453,351,593,368,2299,2149,725,120793,79339
160,627,1634,6910,800,983,4853,1454,353,594,372,2300,2152,727,120796,390059
161,639,1639,6925,811,988,4854,1455,355,595,374,2301,2153,731,121129,390063
162,641,1674,6926,815,997,4882,1457,356,611,387,2302,2155,732,121130,390066
163,642,1675,6928,818,1006,4926,1459,358,617,389,2303,2157,744,121275,50613
164,648,1690,6949,827,1007,4928,1460,359,627,392,2304,2158,745,121364,390067
165,649,1729,7050,829,1009,5097,1477,361,631,393,2305,2159,752,122740,340980
166,650,1760,7157,830,1017,5101,1478,362,640,395,2306,2165,753,122742,5741
167,652,1785,7227,860,1021,5253,1479,366,641,399,2307,2205,758,122748,643847
173,653,1813,7249,862,1027,5290,1487,367,644,403,2308,2206,770,124538,5222
174,655,1828,7291,865,1043,5293,1495,368,649,406,2309,2207,775,125958,387748
175,656,1829,7403,868,1044,5310,1496,369,650,409,2313,2209,776,125962,390081
176,657,1834,7428,890,1059,5335,1499,372,652,410,2353,2224,777,125963,390083
177,659,1837,7490,892,1068,5361,1501,373,653,411,2354,2243,781,126370,338751
178,667,1850,7546,894,1069,5362,1503,375,657,415,2355,2246,782,126541,120793
181,668,1861,8085,896,1072,5469,1523,383,658,419,2494,2258,785,127059,255725
182,672,1889,8200,904,1105,5649,1540,387,659,420,2516,2263,800,127062,120787
183,673,1959,8242,908,1106,5707,1589,390,667,421,2551,2280,801,127066,160298
185,675,1969,8322,942,1107,5727,1602,393,669,427,2623,2321,801,127068,349633
186,677,2006,8450,971,1112,5754,1613,395,672,430,2624,2335,801,127069,796
187,678,2018,8481,973,1121,5784,1642,396,673,432,2625,2346,814,127074,390212
189,682,2022,8517,974,1128,5793,1654,401,675,433,2626,2475,815,127077,644672
190,688,2033,8573,975,1131,5796,1656,403,686,435,2627,2492,816,127385,51475
191,699,2034,8831,983,1132,5797,1659,407,695,444,2636,2512,818,127623,8590
196,701,2035,8905,988,1141,5803,1660,410,701,460,2637,2550,825,128360,283297
197,705,2057,9241,993,1163,5903,1665,411,710,462,2649,2554,844,128366,120776
199,706,2070,9343,1002,1173,5921,1735,412,712,463,2672,2555,847,128367,120775
202,726,2099,9378,1004,1175,5925,1736,414,713,472,2735,2560,857,128368,117196
203,762,2131,9531,1006,1182,5926,1742,415,714,473,2736,2562,858,128371,404552
204,773,2132,9839,1007,1183,5927,1745,416,716,474,2737,2642,860,128372,116519
205,774,2138,10262,1009,1184,5930,1759,427,717,475,2738,2677,862,130075,26496
207,775,2147,10479,1017,1196,5934,1762,429,718,481,2908,2690,864,134083,56676
208,779,2192,10682,1019,1209,5979,1778,435,727,482,2909,2692,896,135924,9965
